city,state,county,street1,street2,zipcode,latitude,longitude,province,footnotes,isvalidated,dpvfootnotes,dpvmatchcode,lasclinkcode,lasclinkindicator,latlongprecision,suitelinkmatch
LONE TREE,"{""code"": ""CO"", ""name"": ""Colorado""}",Douglas,10018 COMMONS ST.,,80124,39.53757,-104.88582,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip8,FALSE
FIRESTONE,"{""code"": ""CO"", ""name"": ""Colorado""}",Weld,8134 COLORADO BLVD,,80504,40.16207,-104.94546,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip8,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",Denver,2995 WEST 26TH AVENUE,,80211,39.75492,-105.02514,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
GREELEY,"{""code"": ""CO"", ""name"": ""Colorado""}",Weld,4548 CENTERPLACE DRIVE,,80634,40.39283,-104.75216,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",,6130 EAST 14TH AVENUE,,70401,0,0,,,FALSE,,,,,,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",Adams,480 E 55TH AVE  STE 100,,80216,39.79828,-104.98435,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
FOUNTAIN,"{""code"": ""CO"", ""name"": ""Colorado""}",,6925 MESA RIDGE PKWY,,80817,0,0,,,FALSE,,,,,,FALSE
FALCON,"{""code"": ""CO"", ""name"": ""Colorado""}",,7655 MCLAUGHLIN RD.,,80831,0,0,,,FALSE,,,,,,FALSE
OREM,"{""code"": ""UT"", ""name"": ""Utah""}",Utah,1375 S STATE ST,,84097,40.2722,-111.68286,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ARVADA,"{""code"": ""CO"", ""name"": ""Colorado""}",Jefferson,7725 WADSWORTH BLVD.,,80003,39.83637,-105.08315,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ARVADA,"{""code"": ""CO"", ""name"": ""Colorado""}",Jefferson,7725 WADSWORTH BLVD.,,80003,39.83637,-105.08315,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,15405 EAST BRIARWOOD CIRCLE,,80016,39.59405,-104.809,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
LAFAYETTE,"{""code"": ""CO"", ""name"": ""Colorado""}",Boulder,555 W. SOUTH BOULDER RD.,SUITE A,80026,39.987,-105.08704,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
LAFAYETTE,"{""code"": ""CO"", ""name"": ""Colorado""}",Boulder,555 W. SOUTH BOULDER RD.,SUITE A,80026,39.987,-105.08704,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
COLORADO SPRINGS,"{""code"": ""CO"", ""name"": ""Colorado""}",El Paso,13415 VOYAGER PARKWAY,,80921,39.02671,-104.81466,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,N  No match; a new address could not be furnished; the input record could not be matched to a record in the master file | ,Zip9,FALSE
PHOENIX,"{""code"": ""AZ"", ""name"": ""Arizona""}",,,,85038,0,0,,,FALSE,,,,,,FALSE
COLORADO SPRINGS,"{""code"": ""CO"", ""name"": ""Colorado""}",El Paso,3275 WEST COLORADO AVENUE,,80904,38.85538,-104.87649,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
SALT LAKE CITY,"{""code"": ""UT"", ""name"": ""Utah""}",Salt Lake,216 S 700 E,,84102,40.76464,-111.87153,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
LAKEWOOD,"{""code"": ""CO"", ""name"": ""Colorado""}",Jefferson,98 WADSWORTH BLVD,UNIT 112,80226,39.71699,-105.08003,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
