"b'OBJECTID_12_13'","b'OBJECTID'","b'DEPCODE'","b'COUNTY'","b'COUNTYNAME'","b'DATESTAMP'","b'ShapeSTAre'","b'ShapeSTLen'","b'OBJECTID_1'","b'County_1'","b'State'","b'OBJECTID_12'","b'DEPCODE_1'","b'COUNTYN'","b'PUIsTotal'","b'Age_0_9'","b'Age_10_19'","b'Age_20_29'","b'Age_30_39'","b'Age_40_49'","b'Age_50_59'","b'Age_60_69'","b'Age_70_79'","b'Age_80plus'","b'Age_Unkn'","b'C_Age_0_9'","b'C_Age_10_19'","b'C_Age_20_29'","b'C_Age_30_39'","b'C_Age_40_49'","b'C_Age_50_59'","b'C_Age_60_69'","b'C_Age_70_79'","b'C_Age_80plus'","b'C_Age_Unkn'","b'PUIAgeRange'","b'PUIAgeAvrg'","b'C_AgeRange'","b'C_AgeAvrg'","b'C_AllResTypes'","b'C_NonResDeaths'","b'PUIFemale'","b'PUIMale'","b'PUISexUnkn'","b'PUIFLRes'","b'PUINotFLRes'","b'PUIFLResOut'","b'PUITravelNo'","b'PUITravelUnkn'","b'PUITravelYes'","b'C_ED_NO'","b'C_ED_NoData'","b'C_ED_Yes'","b'C_Hosp_No'","b'C_Hosp_Nodata'","b'C_Hosp_Yes'","b'FLResDeaths'","b'PUILab_Yes'","b'TPositive'","b'TNegative'","b'TInconc'","b'TPending'","b'PUIContNo'","b'PUIContUnkn'","b'PUIContYes'","b'CasesAll'","b'C_Men'","b'C_Women'","b'C_TravelYes'","b'C_TravelNo'","b'C_TravelUnkn'","b'C_FLRes'","b'C_NotFLRes'","b'C_FLResOut'","b'T_NegRes'","b'T_NegNotFLRes'","b'T_PendRes'","b'T_PendNotRes'","b'T_total'","b'T_negative'","b'T_pending'","b'T_positive'","b'FLandNonFLDeaths'","b'EverMon'","b'MonNow'","b'Shape__Area'","b'Shape__Length'","b'Shape_Length'","b'Shape_Area'"
"1.0","1.0","21.0","b'041'","b'GILCHRIST'","b'2000-05-16T00:00:00.000Z'","9908353355.450989","487300.01135911344","21.0","b'Gilchrist'","b'FL'","b'1'","21.0","b'41'","7.0","2.0","0.0","1.0","0.0","0.0","1.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'0 to 68'","b'40'","b'NA'","b'NA'","0.0","0.0","2.0","5.0","0.0","7.0","0.0","0.0","1.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","7.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","0.0","920490830.0420532","148547.34800644076","148547.34758799814","920490830.171041"
"2.0","2.0","54.0","b'107'","b'PUTNAM'","b'2000-05-16T00:00:00.000Z'","23058687375.951416","762967.677232753","54.0","b'Putnam'","b'FL'","b'2'","54.0","b'107'","111.0","6.0","3.0","12.0","15.0","14.0","19.0","19.0","11.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","b'1 to 93'","b'51'","b'67 to 82'","b'74'","2.0","0.0","67.0","40.0","4.0","110.0","1.0","0.0","37.0","65.0","9.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","83.0","2.0","81.0","0.0","28.0","4.0","16.0","29.0","2.0","1.0","1.0","1.0","1.0","0.0","2.0","0.0","0.0","80.0","1.0","28.0","0.0","111.0","81.0","28.0","2.0","0.0","0.0","0.0","2142439482.677185","232574.92567500795","232574.92629581343","2142439482.032749"
"3.0","3.0","62.0","b'123'","b'TAYLOR'","b'2000-05-16T00:00:00.000Z'","28917470565.382874","877252.709451284","62.0","b'Taylor'","b'FL'","b'3'","62.0","b'123'","12.0","0.0","0.0","2.0","1.0","2.0","1.0","4.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'22 to 81'","b'55'","b'NA'","b'NA'","0.0","0.0","6.0","6.0","0.0","12.0","0.0","0.0","2.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","12.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","12.0","12.0","0.0","0.0","0.0","0.0","0.0","2685252568.138336","267348.17895034933","267348.1784285619","2685252567.6482882"
"4.0","4.0","46.0","b'091'","b'OKALOOSA'","b'2000-05-16T00:00:00.000Z'","25621585036.225586","1087058.0043828427","46.0","b'Okaloosa'","b'FL'","b'4'","46.0","b'91'","91.0","11.0","5.0","14.0","13.0","19.0","15.0","9.0","3.0","2.0","0.0","0.0","0.0","3.0","0.0","4.0","1.0","3.0","1.0","2.0","0.0","b'3 to 83'","b'39'","b'24 to 83'","b'54'","14.0","0.0","50.0","38.0","3.0","89.0","1.0","1.0","34.0","37.0","20.0","10.0","1.0","3.0","11.0","1.0","2.0","0.0","76.0","14.0","62.0","0.0","15.0","22.0","4.0","26.0","14.0","4.0","10.0","9.0","5.0","0.0","13.0","0.0","1.0","61.0","1.0","15.0","0.0","91.0","62.0","15.0","14.0","0.0","58.0","16.0","2369222670.2968826","330553.1602783857","330553.159869224","2369222669.7775874"
"5.0","5.0","7.0","b'013'","b'CALHOUN'","b'2000-05-16T00:00:00.000Z'","16048085397.467224","631344.0090967203","7.0","b'Calhoun'","b'FL'","b'5'","7.0","b'13'","6.0","0.0","1.0","0.0","0.0","1.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","b'19 to 84'","b'59'","b'NA'","b'NA'","0.0","0.0","3.0","3.0","0.0","6.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","1487626835.1083832","192207.89033127204","192207.8900408525","1487626834.631772"
"6.0","6.0","50.0","b'099'","b'PALM BEACH'","b'2000-05-16T00:00:00.000Z'","61491591969.061646","1522726.8974753811","50.0","b'Palm Beach'","b'FL'","b'6'","50.0","b'99'","737.0","14.0","21.0","104.0","105.0","98.0","122.0","120.0","102.0","48.0","3.0","1.0","4.0","16.0","5.0","11.0","12.0","25.0","17.0","10.0","0.0","b'0 to 104'","b'50'","b'6 to 88'","b'55'","94.0","0.0","407.0","320.0","10.0","722.0","14.0","1.0","44.0","649.0","44.0","12.0","55.0","34.0","33.0","51.0","17.0","3.0","724.0","101.0","623.0","0.0","13.0","45.0","32.0","42.0","101.0","61.0","39.0","27.0","19.0","55.0","93.0","7.0","1.0","616.0","7.0","13.0","0.0","737.0","623.0","13.0","101.0","3.0","70.0","19.0","5710098601.294861","464192.45973408176","464192.45985372004","5710098601.4328785"
"7.0","7.0","56.0","b'111'","b'ST. LUCIE'","b'2000-05-16T00:00:00.000Z'","16149484820.955688","829518.692770346","59.0","b'St. Lucie'","b'FL'","b'7'","56.0","b'111'","116.0","5.0","6.0","17.0","20.0","13.0","23.0","16.0","11.0","5.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0","2.0","0.0","0.0","b'0 to 92'","b'46'","b'19 to 77'","b'50'","6.0","0.0","70.0","46.0","0.0","115.0","1.0","0.0","9.0","98.0","9.0","4.0","1.0","1.0","5.0","1.0","0.0","0.0","113.0","6.0","107.0","0.0","3.0","12.0","2.0","5.0","6.0","2.0","4.0","1.0","4.0","1.0","6.0","0.0","0.0","106.0","1.0","3.0","0.0","116.0","107.0","3.0","6.0","0.0","6.0","2.0","1499679486.6714172","252832.32328983446","252832.323358595","1499679486.7778478"
"8.0","8.0","51.0","b'101'","b'PASCO'","b'2000-05-16T00:00:00.000Z'","21260807285.86374","739390.6435976438","51.0","b'Pasco'","b'FL'","b'8'","51.0","b'101'","256.0","19.0","7.0","24.0","34.0","37.0","41.0","48.0","32.0","13.0","1.0","0.0","0.0","0.0","1.0","5.0","1.0","6.0","2.0","0.0","0.0","b'0 to 89'","b'48'","b'32 to 73'","b'57'","14.0","0.0","141.0","113.0","2.0","248.0","8.0","0.0","47.0","186.0","23.0","9.0","4.0","2.0","10.0","1.0","4.0","0.0","237.0","15.0","222.0","0.0","19.0","41.0","32.0","16.0","15.0","8.0","7.0","8.0","6.0","1.0","14.0","1.0","0.0","217.0","5.0","17.0","2.0","256.0","222.0","19.0","15.0","0.0","75.0","47.0","1975344274.4580688","225211.50075216166","225211.50069086827","1975344275.1951964"
"9.0","9.0","20.0","b'039'","b'GADSDEN'","b'2000-05-16T00:00:00.000Z'","14744963472.248077","673612.4260775028","20.0","b'Gadsden'","b'FL'","b'9'","20.0","b'39'","19.0","2.0","0.0","3.0","2.0","4.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","b'0 to 75'","b'44'","b'54 to 54'","b'54'","1.0","0.0","12.0","7.0","0.0","18.0","0.0","1.0","1.0","15.0","3.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","19.0","1.0","18.0","0.0","0.0","1.0","1.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","18.0","0.0","0.0","0.0","19.0","18.0","0.0","1.0","0.0","0.0","0.0","1367889846.398056","205127.33065071361","205127.33096514153","1367889846.5310688"
"10.0","10.0","37.0","b'073'","b'LEON'","b'2000-05-16T00:00:00.000Z'","19584016138.209763","807989.6911815628","37.0","b'Leon'","b'FL'","b'10'","37.0","b'73'","198.0","3.0","12.0","33.0","38.0","24.0","27.0","42.0","13.0","6.0","0.0","0.0","0.0","0.0","3.0","2.0","3.0","0.0","0.0","0.0","0.0","b'0 to 93'","b'45'","b'31 to 59'","b'45'","6.0","0.0","113.0","85.0","0.0","195.0","2.0","1.0","2.0","181.0","15.0","3.0","0.0","5.0","6.0","0.0","2.0","0.0","196.0","8.0","188.0","0.0","2.0","4.0","15.0","3.0","8.0","3.0","5.0","8.0","0.0","0.0","5.0","2.0","1.0","188.0","0.0","2.0","0.0","198.0","188.0","2.0","8.0","0.0","30.0","9.0","1817477697.4177856","246081.90962749088","246081.90978273907","1817477697.8352275"
